alias_lot_id;wf_id;xcoord;ycoord;val
ABC4812;01;11;25;#
ABC4812;01;11;26;#
ABC4812;01;11;27;#
ABC4812;01;11;28;#
ABC4812;01;11;29;#
ABC4812;01;11;30;#
ABC4812;01;11;31;#
ABC4812;01;11;32;W
ABC4812;01;11;33;#
ABC4812;01;11;34;#
ABC4812;01;11;35;#
ABC4812;01;12;23;#
ABC4812;01;12;24;#
ABC4812;01;12;25;W
ABC4812;01;12;26;#
ABC4812;01;12;27;#
ABC4812;01;12;28;#
ABC4812;01;12;29;#
ABC4812;01;12;30;#
ABC4812;01;12;31;W
ABC4812;01;12;32;#
ABC4812;01;12;33;#
ABC4812;01;12;34;#
ABC4812;01;12;35;#
ABC4812;01;12;36;#
ABC4812;01;12;37;#
ABC4812;01;13;22;W
ABC4812;01;13;23;#
ABC4812;01;13;24;#
ABC4812;01;13;25;#
ABC4812;01;13;26;#
ABC4812;01;13;27;#
ABC4812;01;13;28;#
ABC4812;01;13;29;#
ABC4812;01;13;30;#
ABC4812;01;13;31;#
ABC4812;01;13;32;W
ABC4812;01;13;33;#
ABC4812;01;13;34;#
ABC4812;01;13;35;#
ABC4812;01;13;36;#
ABC4812;01;13;37;#
ABC4812;01;13;38;#
ABC4812;01;14;21;#
ABC4812;01;14;22;#
ABC4812;01;14;23;#
ABC4812;01;14;24;#
ABC4812;01;14;25;#
ABC4812;01;14;26;#
ABC4812;01;14;27;#
ABC4812;01;14;28;#
ABC4812;01;14;29;#
ABC4812;01;14;30;#
ABC4812;01;14;31;#
ABC4812;01;14;32;#
ABC4812;01;14;33;W
ABC4812;01;14;34;#
ABC4812;01;14;35;#
ABC4812;01;14;36;#
ABC4812;01;14;37;#
ABC4812;01;14;38;#
ABC4812;01;14;39;#
ABC4812;01;15;19;#
ABC4812;01;15;20;#
ABC4812;01;15;21;#
ABC4812;01;15;22;#
ABC4812;01;15;23;#
ABC4812;01;15;24;W
ABC4812;01;15;25;#
ABC4812;01;15;26;#
ABC4812;01;15;27;#
ABC4812;01;15;28;#
ABC4812;01;15;29;#
ABC4812;01;15;30;#
ABC4812;01;15;31;#
ABC4812;01;15;32;W
ABC4812;01;15;33;#
ABC4812;01;15;34;#
ABC4812;01;15;35;#
ABC4812;01;15;36;#
ABC4812;01;15;37;#
ABC4812;01;15;38;W
ABC4812;01;15;39;W
ABC4812;01;15;40;#
ABC4812;01;15;41;W
ABC4812;01;16;18;#
ABC4812;01;16;19;#
ABC4812;01;16;20;#
ABC4812;01;16;21;#
ABC4812;01;16;22;#
ABC4812;01;16;23;#
ABC4812;01;16;24;#
ABC4812;01;16;25;#
ABC4812;01;16;26;#
ABC4812;01;16;27;#
ABC4812;01;16;28;#
ABC4812;01;16;29;#
ABC4812;01;16;30;#
ABC4812;01;16;31;#
ABC4812;01;16;32;#
ABC4812;01;16;33;W
ABC4812;01;16;34;#
ABC4812;01;16;35;#
ABC4812;01;16;36;#
ABC4812;01;16;37;#
ABC4812;01;16;38;#
ABC4812;01;16;39;#
ABC4812;01;16;40;#
ABC4812;01;16;41;#
ABC4812;01;16;42;#
ABC4812;01;17;18;#
ABC4812;01;17;19;#
ABC4812;01;17;20;#
ABC4812;01;17;21;W
ABC4812;01;17;22;#
ABC4812;01;17;23;#
ABC4812;01;17;24;#
ABC4812;01;17;25;#
ABC4812;01;17;26;W
ABC4812;01;17;27;#
ABC4812;01;17;28;#
ABC4812;01;17;29;W
ABC4812;01;17;30;#
ABC4812;01;17;31;#
ABC4812;01;17;32;#
ABC4812;01;17;33;#
ABC4812;01;17;34;#
ABC4812;01;17;35;#
ABC4812;01;17;36;#
ABC4812;01;17;37;#
ABC4812;01;17;38;#
ABC4812;01;17;39;#
ABC4812;01;17;40;#
ABC4812;01;17;41;#
ABC4812;01;17;42;#
ABC4812;01;18;17;#
ABC4812;01;18;18;#
ABC4812;01;18;19;#
ABC4812;01;18;20;#
ABC4812;01;18;21;#
ABC4812;01;18;22;#
ABC4812;01;18;23;W
ABC4812;01;18;24;#
ABC4812;01;18;25;#
ABC4812;01;18;26;W
ABC4812;01;18;27;#
ABC4812;01;18;28;#
ABC4812;01;18;29;#
ABC4812;01;18;30;#
ABC4812;01;18;31;#
ABC4812;01;18;32;#
ABC4812;01;18;33;#
ABC4812;01;18;34;#
ABC4812;01;18;35;#
ABC4812;01;18;36;#
ABC4812;01;18;37;#
ABC4812;01;18;38;W
ABC4812;01;18;39;#
ABC4812;01;18;40;#
ABC4812;01;18;41;W
ABC4812;01;18;42;#
ABC4812;01;18;43;#
ABC4812;01;19;16;#
ABC4812;01;19;17;W
ABC4812;01;19;18;#
ABC4812;01;19;19;#
ABC4812;01;19;20;W
ABC4812;01;19;21;#
ABC4812;01;19;22;#
ABC4812;01;19;23;#
ABC4812;01;19;24;#
ABC4812;01;19;25;W
ABC4812;01;19;26;W
ABC4812;01;19;27;#
ABC4812;01;19;28;#
ABC4812;01;19;29;W
ABC4812;01;19;30;#
ABC4812;01;19;31;#
ABC4812;01;19;32;#
ABC4812;01;19;33;#
ABC4812;01;19;34;#
ABC4812;01;19;35;#
ABC4812;01;19;36;#
ABC4812;01;19;37;#
ABC4812;01;19;38;#
ABC4812;01;19;39;#
ABC4812;01;19;40;#
ABC4812;01;19;41;#
ABC4812;01;19;42;#
ABC4812;01;19;43;#
ABC4812;01;19;44;#
ABC4812;01;20;16;#
ABC4812;01;20;17;#
ABC4812;01;20;18;#
ABC4812;01;20;19;#
ABC4812;01;20;20;#
ABC4812;01;20;21;#
ABC4812;01;20;22;#
ABC4812;01;20;23;#
ABC4812;01;20;24;#
ABC4812;01;20;25;#
ABC4812;01;20;26;#
ABC4812;01;20;27;#
ABC4812;01;20;28;#
ABC4812;01;20;29;#
