alias_lot_id,wf_id,xcoord,ycoord,val
ABCP832,03,2,21,#
ABCP832,03,2,22,#
ABCP832,03,2,23,#
ABCP832,03,2,24,W
ABCP832,03,2,25,W
ABCP832,03,2,26,#
ABCP832,03,2,27,#
ABCP832,03,2,28,#
ABCP832,03,2,29,#
ABCP832,03,2,30,#
ABCP832,03,2,31,#
ABCP832,03,3,18,#
ABCP832,03,3,19,#
ABCP832,03,3,20,#
ABCP832,03,3,21,#
ABCP832,03,3,22,#
ABCP832,03,3,23,#
ABCP832,03,3,24,#
ABCP832,03,3,25,#
ABCP832,03,3,26,#
ABCP832,03,3,27,#
ABCP832,03,3,28,#
ABCP832,03,3,29,#
ABCP832,03,3,30,#
ABCP832,03,3,31,#
ABCP832,03,3,32,W
ABCP832,03,3,33,#
ABCP832,03,3,34,#
ABCP832,03,4,16,#
ABCP832,03,4,17,#
ABCP832,03,4,18,#
ABCP832,03,4,19,#
ABCP832,03,4,20,#
ABCP832,03,4,21,#
ABCP832,03,4,22,#
ABCP832,03,4,23,#
ABCP832,03,4,24,#
ABCP832,03,4,25,#
ABCP832,03,4,26,#
ABCP832,03,4,27,W
ABCP832,03,4,28,W
ABCP832,03,4,29,#
ABCP832,03,4,30,#
ABCP832,03,4,31,#
ABCP832,03,4,32,#
ABCP832,03,4,33,#
ABCP832,03,4,34,#
ABCP832,03,4,35,#
ABCP832,03,4,36,#
ABCP832,03,5,15,#
ABCP832,03,5,16,#
ABCP832,03,5,17,#
ABCP832,03,5,18,#
ABCP832,03,5,19,#
ABCP832,03,5,20,#
ABCP832,03,5,21,#
ABCP832,03,5,22,W
ABCP832,03,5,23,#
ABCP832,03,5,24,#
ABCP832,03,5,25,#
ABCP832,03,5,26,#
ABCP832,03,5,27,W
ABCP832,03,5,28,#
ABCP832,03,5,29,#
ABCP832,03,5,30,W
ABCP832,03,5,31,#
ABCP832,03,5,32,#
ABCP832,03,5,33,#
ABCP832,03,5,34,#
ABCP832,03,5,35,W
ABCP832,03,5,36,#
ABCP832,03,5,37,#
ABCP832,03,6,14,W
ABCP832,03,6,15,#
ABCP832,03,6,16,#
ABCP832,03,6,17,#
ABCP832,03,6,18,#
ABCP832,03,6,19,#
ABCP832,03,6,20,W
ABCP832,03,6,21,W
ABCP832,03,6,22,#
ABCP832,03,6,23,#
ABCP832,03,6,24,#
ABCP832,03,6,25,#
ABCP832,03,6,26,W
ABCP832,03,6,27,#
ABCP832,03,6,28,#
ABCP832,03,6,29,#
ABCP832,03,6,30,#
ABCP832,03,6,31,#
ABCP832,03,6,32,#
ABCP832,03,6,33,#
ABCP832,03,6,34,#
ABCP832,03,6,35,W
ABCP832,03,6,36,#
ABCP832,03,6,37,W
ABCP832,03,6,38,#
ABCP832,03,7,13,#
ABCP832,03,7,14,#
ABCP832,03,7,15,#
ABCP832,03,7,16,#
ABCP832,03,7,17,#
ABCP832,03,7,18,W
ABCP832,03,7,19,#
ABCP832,03,7,20,#
ABCP832,03,7,21,#
ABCP832,03,7,22,#
ABCP832,03,7,23,#
ABCP832,03,7,24,#
ABCP832,03,7,25,#
ABCP832,03,7,26,#
ABCP832,03,7,27,#
ABCP832,03,7,28,W
ABCP832,03,7,29,#
ABCP832,03,7,30,W
ABCP832,03,7,31,#
ABCP832,03,7,32,#
ABCP832,03,7,33,#
ABCP832,03,7,34,W
ABCP832,03,7,35,#
ABCP832,03,7,36,#
ABCP832,03,7,37,#
ABCP832,03,7,38,#
ABCP832,03,7,39,W
ABCP832,03,8,11,#
ABCP832,03,8,12,#
ABCP832,03,8,13,#
ABCP832,03,8,14,W
ABCP832,03,8,15,#
ABCP832,03,8,16,W
ABCP832,03,8,17,W
ABCP832,03,8,18,W
ABCP832,03,8,19,#
ABCP832,03,8,20,W
ABCP832,03,8,21,#
ABCP832,03,8,22,W
ABCP832,03,8,23,#
ABCP832,03,8,24,#
ABCP832,03,8,25,#
ABCP832,03,8,26,#
ABCP832,03,8,27,#
ABCP832,03,8,28,#
ABCP832,03,8,29,W
ABCP832,03,8,30,#
ABCP832,03,8,31,#
ABCP832,03,8,32,#
ABCP832,03,8,33,W
ABCP832,03,8,34,#
ABCP832,03,8,35,#
ABCP832,03,8,36,#
ABCP832,03,8,37,#
ABCP832,03,8,38,#
ABCP832,03,8,39,#
ABCP832,03,8,40,#
ABCP832,03,8,41,W
ABCP832,03,9,11,#
ABCP832,03,9,12,#
ABCP832,03,9,13,#
ABCP832,03,9,14,#
ABCP832,03,9,15,#
ABCP832,03,9,16,#
ABCP832,03,9,17,W
ABCP832,03,9,18,#
ABCP832,03,9,19,#
ABCP832,03,9,20,#
ABCP832,03,9,21,#
ABCP832,03,9,22,#
ABCP832,03,9,23,#
ABCP832,03,9,24,#
ABCP832,03,9,25,#
ABCP832,03,9,26,#
ABCP832,03,9,27,#
ABCP832,03,9,28,W
ABCP832,03,9,29,#
ABCP832,03,9,30,#
ABCP832,03,9,31,W
ABCP832,03,9,32,#
ABCP832,03,9,33,W
ABCP832,03,9,34,#
ABCP832,03,9,35,#
ABCP832,03,9,36,#
ABCP832,03,9,37,#
ABCP832,03,9,38,#
ABCP832,03,9,39,#
ABCP832,03,9,40,W
ABCP832,03,9,41,#
ABCP832,03,10,10,#
ABCP832,03,10,11,#
ABCP832,03,10,12,#
ABCP832,03,10,13,#
ABCP832,03,10,14,#
ABCP832,03,10,15,#
ABCP832,03,10,16,#
ABCP832,03,10,17,#
ABCP832,03,10,18,W
ABCP832,03,10,19,#
ABCP832,03,10,20,W
ABCP832,03,10,21,#
ABCP832,03,10,22,#
ABCP832,03,10,23,#
ABCP832,03,10,24,#
ABCP832,03,10,25,#
ABCP832,03,10,26,#
ABCP832,03,10,27,#
ABCP832,03,10,28,#
ABCP832,03,10,29,#
ABCP832,03,10,30,#
ABCP832,03,10,31,#
ABCP832,03,10,32,#
ABCP832,03,10,33,#
ABCP832,03,10,34,#
ABCP832,03,10,35,#
ABCP832,03,10,36,#
ABCP832,03,10,37,#
ABCP832,03,10,38,#
ABCP832,03,10,39,#
ABCP832,03,10,40,#
ABCP832,03,10,41,#
ABCP832,03,10,42,W
ABCP832,03,11,9,W
ABCP832,03,11,10,W
ABCP832,03,11,11,W
ABCP832,03,11,12,#
ABCP832,03,11,13,#
ABCP832,03,11,14,#
ABCP832,03,11,15,#
ABCP832,03,11,16,#
ABCP832,03,11,17,#
ABCP832,03,11,18,W
ABCP832,03,11,19,W
ABCP832,03,11,20,#
ABCP832,03,11,21,W
ABCP832,03,11,22,#
ABCP832,03,11,23,W
ABCP832,03,11,24,#
ABCP832,03,11,25,#
ABCP832,03,11,26,#
ABCP832,03,11,27,#
ABCP832,03,11,28,#
ABCP832,03,11,29,#
ABCP832,03,11,30,W
ABCP832,03,11,31,#
ABCP832,03,11,32,#
ABCP832,03,11,33,W
ABCP832,03,11,34,#
ABCP832,03,11,35,W
ABCP832,03,11,36,#
ABCP832,03,11,37,W
ABCP832,03,11,38,#
ABCP832,03,11,39,#
ABCP832,03,11,40,#
ABCP832,03,11,41,W
ABCP832,03,11,42,#
ABCP832,03,11,43,#
ABCP832,03,12,8,#
ABCP832,03,12,9,#
ABCP832,03,12,10,W
ABCP832,03,12,11,#
ABCP832,03,12,12,#
ABCP832,03,12,13,#
ABCP832,03,12,14,W
ABCP832,03,12,15,#
ABCP832,03,12,16,#
ABCP832,03,12,17,#
ABCP832,03,12,18,#
ABCP832,03,12,19,#
ABCP832,03,12,20,W
ABCP832,03,12,21,W
ABCP832,03,12,22,#
ABCP832,03,12,23,#
ABCP832,03,12,24,#
ABCP832,03,12,25,#
ABCP832,03,12,26,#
ABCP832,03,12,27,W
ABCP832,03,12,28,#
ABCP832,03,12,29,#
ABCP832,03,12,30,#
ABCP832,03,12,31,#
ABCP832,03,12,32,#
ABCP832,03,12,33,W
ABCP832,03,12,34,#
ABCP832,03,12,35,#
ABCP832,03,12,36,#
ABCP832,03,12,37,#
ABCP832,03,12,38,#
ABCP832,03,12,39,#
ABCP832,03,12,40,#
ABCP832,03,12,41,W
ABCP832,03,12,42,#
ABCP832,03,12,43,W
ABCP832,03,12,44,#
ABCP832,03,13,8,#
ABCP832,03,13,9,#
ABCP832,03,13,10,#
ABCP832,03,13,11,#
ABCP832,03,13,12,#
ABCP832,03,13,13,#
ABCP832,03,13,14,W
ABCP832,03,13,15,#
ABCP832,03,13,16,#
ABCP832,03,13,17,#
ABCP832,03,13,18,W
ABCP832,03,13,19,#
ABCP832,03,13,20,W
ABCP832,03,13,21,#
ABCP832,03,13,22,#
ABCP832,03,13,23,#
ABCP832,03,13,24,#
ABCP832,03,13,25,#
ABCP832,03,13,26,#
ABCP832,03,13,27,#
ABCP832,03,13,28,W
ABCP832,03,13,29,#
ABCP832,03,13,30,W
ABCP832,03,13,31,W
ABCP832,03,13,32,#
ABCP832,03,13,33,#
