alias_lot_id,wf_id,xcoord,ycoord,val
ABCS287,10,2,12,#
ABCS287,10,2,13,#
ABCS287,10,2,14,#
ABCS287,10,2,15,#
ABCS287,10,2,16,W
ABCS287,10,2,17,#
ABCS287,10,2,18,#
ABCS287,10,2,19,#
ABCS287,10,2,20,#
ABCS287,10,3,10,#
ABCS287,10,3,11,#
ABCS287,10,3,12,#
ABCS287,10,3,13,#
ABCS287,10,3,14,W
ABCS287,10,3,15,#
ABCS287,10,3,16,W
ABCS287,10,3,17,#
ABCS287,10,3,18,#
ABCS287,10,3,19,#
ABCS287,10,3,20,#
ABCS287,10,3,21,W
ABCS287,10,3,22,#
ABCS287,10,4,9,#
ABCS287,10,4,10,W
ABCS287,10,4,11,#
ABCS287,10,4,12,#
ABCS287,10,4,13,#
ABCS287,10,4,14,#
ABCS287,10,4,15,#
ABCS287,10,4,16,#
ABCS287,10,4,17,#
ABCS287,10,4,18,#
ABCS287,10,4,19,W
ABCS287,10,4,20,#
ABCS287,10,4,21,#
ABCS287,10,4,22,#
ABCS287,10,4,23,#
ABCS287,10,5,7,#
ABCS287,10,5,8,#
ABCS287,10,5,9,#
ABCS287,10,5,10,#
ABCS287,10,5,11,#
ABCS287,10,5,12,#
ABCS287,10,5,13,#
ABCS287,10,5,14,#
ABCS287,10,5,15,#
ABCS287,10,5,16,#
ABCS287,10,5,17,#
ABCS287,10,5,18,#
ABCS287,10,5,19,#
ABCS287,10,5,20,#
ABCS287,10,5,21,W
ABCS287,10,5,22,#
ABCS287,10,5,23,#
ABCS287,10,5,24,#
ABCS287,10,5,25,W
ABCS287,10,6,7,#
ABCS287,10,6,8,#
ABCS287,10,6,9,#
ABCS287,10,6,10,#
ABCS287,10,6,11,#
ABCS287,10,6,12,#
ABCS287,10,6,13,#
ABCS287,10,6,14,#
ABCS287,10,6,15,W
ABCS287,10,6,16,W
ABCS287,10,6,17,W
ABCS287,10,6,18,W
ABCS287,10,6,19,#
ABCS287,10,6,20,#
ABCS287,10,6,21,#
ABCS287,10,6,22,W
ABCS287,10,6,23,W
ABCS287,10,6,24,#
ABCS287,10,6,25,#
ABCS287,10,7,6,#
ABCS287,10,7,7,#
ABCS287,10,7,8,#
ABCS287,10,7,9,#
ABCS287,10,7,10,#
ABCS287,10,7,11,#
ABCS287,10,7,12,#
ABCS287,10,7,13,#
ABCS287,10,7,14,#
ABCS287,10,7,15,#
ABCS287,10,7,16,#
ABCS287,10,7,17,#
ABCS287,10,7,18,W
ABCS287,10,7,19,#
ABCS287,10,7,20,#
ABCS287,10,7,21,#
ABCS287,10,7,22,#
ABCS287,10,7,23,#
ABCS287,10,7,24,#
ABCS287,10,7,25,#
ABCS287,10,7,26,W
ABCS287,10,8,5,#
ABCS287,10,8,6,#
ABCS287,10,8,7,#
ABCS287,10,8,8,#
ABCS287,10,8,9,#
ABCS287,10,8,10,W
ABCS287,10,8,11,W
ABCS287,10,8,12,#
ABCS287,10,8,13,#
ABCS287,10,8,14,#
ABCS287,10,8,15,#
ABCS287,10,8,16,#
ABCS287,10,8,17,W
ABCS287,10,8,18,W
ABCS287,10,8,19,W
ABCS287,10,8,20,W
ABCS287,10,8,21,#
ABCS287,10,8,22,#
ABCS287,10,8,23,#
ABCS287,10,8,24,#
ABCS287,10,8,25,#
ABCS287,10,8,26,#
ABCS287,10,8,27,#
ABCS287,10,9,4,#
ABCS287,10,9,5,#
ABCS287,10,9,6,#
ABCS287,10,9,7,#
ABCS287,10,9,8,#
ABCS287,10,9,9,#
ABCS287,10,9,10,#
ABCS287,10,9,11,#
ABCS287,10,9,12,#
ABCS287,10,9,13,W
ABCS287,10,9,14,#
ABCS287,10,9,15,#
ABCS287,10,9,16,W
ABCS287,10,9,17,W
ABCS287,10,9,18,W
ABCS287,10,9,19,W
ABCS287,10,9,20,#
