alias_lot_id,wf_id,xcoord,ycoord,val
ABCV757,01,11,21,#
ABCV757,01,11,22,#
ABCV757,01,11,23,#
ABCV757,01,11,24,#
ABCV757,01,11,25,#
ABCV757,01,11,26,#
ABCV757,01,11,27,#
ABCV757,01,11,28,#
ABCV757,01,11,29,#
ABCV757,01,12,19,W
ABCV757,01,12,20,W
ABCV757,01,12,21,#
ABCV757,01,12,22,#
ABCV757,01,12,23,W
ABCV757,01,12,24,W
ABCV757,01,12,25,W
ABCV757,01,12,26,#
ABCV757,01,12,27,#
ABCV757,01,12,28,#
ABCV757,01,12,29,#
ABCV757,01,12,30,W
ABCV757,01,12,31,#
ABCV757,01,13,18,W
ABCV757,01,13,19,W
ABCV757,01,13,20,#
ABCV757,01,13,21,#
ABCV757,01,13,22,#
ABCV757,01,13,23,#
ABCV757,01,13,24,#
ABCV757,01,13,25,#
ABCV757,01,13,26,#
ABCV757,01,13,27,#
ABCV757,01,13,28,W
ABCV757,01,13,29,#
ABCV757,01,13,30,#
ABCV757,01,13,31,#
ABCV757,01,13,32,#
ABCV757,01,14,16,#
ABCV757,01,14,17,#
ABCV757,01,14,18,W
ABCV757,01,14,19,W
ABCV757,01,14,20,#
ABCV757,01,14,21,#
ABCV757,01,14,22,W
ABCV757,01,14,23,#
ABCV757,01,14,24,#
ABCV757,01,14,25,#
ABCV757,01,14,26,#
ABCV757,01,14,27,#
ABCV757,01,14,28,#
ABCV757,01,14,29,#
ABCV757,01,14,30,#
ABCV757,01,14,31,W
ABCV757,01,14,32,#
ABCV757,01,14,33,#
ABCV757,01,14,34,#
ABCV757,01,15,16,W
ABCV757,01,15,17,#
ABCV757,01,15,18,W
ABCV757,01,15,19,W
ABCV757,01,15,20,W
ABCV757,01,15,21,W
ABCV757,01,15,22,#
ABCV757,01,15,23,#
ABCV757,01,15,24,#
ABCV757,01,15,25,#
ABCV757,01,15,26,#
ABCV757,01,15,27,#
ABCV757,01,15,28,W
ABCV757,01,15,29,W
ABCV757,01,15,30,#
ABCV757,01,15,31,#
ABCV757,01,15,32,W
ABCV757,01,15,33,#
ABCV757,01,15,34,#
ABCV757,01,16,15,#
ABCV757,01,16,16,#
ABCV757,01,16,17,#
ABCV757,01,16,18,W
ABCV757,01,16,19,W
ABCV757,01,16,20,W
ABCV757,01,16,21,#
ABCV757,01,16,22,#
ABCV757,01,16,23,#
ABCV757,01,16,24,#
ABCV757,01,16,25,#
ABCV757,01,16,26,#
ABCV757,01,16,27,#
ABCV757,01,16,28,#
ABCV757,01,16,29,#
ABCV757,01,16,30,#
ABCV757,01,16,31,#
ABCV757,01,16,32,#
ABCV757,01,16,33,#
ABCV757,01,16,34,#
ABCV757,01,16,35,W
ABCV757,01,17,14,#
ABCV757,01,17,15,#
ABCV757,01,17,16,#
ABCV757,01,17,17,#
ABCV757,01,17,18,W
ABCV757,01,17,19,W
ABCV757,01,17,20,#
ABCV757,01,17,21,#
ABCV757,01,17,22,W
ABCV757,01,17,23,#
ABCV757,01,17,24,#
ABCV757,01,17,25,W
ABCV757,01,17,26,#
ABCV757,01,17,27,#
ABCV757,01,17,28,#
ABCV757,01,17,29,#
ABCV757,01,17,30,#
ABCV757,01,17,31,#
ABCV757,01,17,32,#
ABCV757,01,17,33,#
ABCV757,01,17,34,#
ABCV757,01,17,35,#
ABCV757,01,17,36,#
ABCV757,01,18,13,W
ABCV757,01,18,14,#
ABCV757,01,18,15,W
